mp_id,post_id,unit_id,parent_id,unit_type,unit_code,post_title
15838,4,39,,mpg,IRL,Керівник групи з міжпарламентських зв'язків з Ірландією
15838,3,44,,mpg,TUR,Член групи з міжпарламентських зв'язків з Турецькою Республікою
15838,25,60,,mpd,uPCA,Заступник члена Української частини Парламентського комітету асоціації
15838,3,21,,mpg,JPN,Член групи з міжпарламентських зв'язків з Японією
15796,2,20,,fra,nf,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
15796,6,19,,cmt,komagropolit,Член Комітету Верховної Ради України з питань аграрної політики та земельних відносин
15796,3,49,,mpg,FIN,Член групи з міжпарламентських зв'язків з Фінляндською Республікою
15796,3,21,,mpg,JPN,Член групи з міжпарламентських зв'язків з Японією
15796,3,70,,mpg,NOR,Член групи з міжпарламентських зв'язків з Королівством Норвегія
15796,28,151,,mpg,DZA,Секретар групи з міжпарламентських зв'язків з Алжирською Народною Демократичною Республікою
15796,3,4,,mpg,ISR,Член групи з міжпарламентських зв'язків з Державою Ізраїль
15796,3,43,,mpg,LVA,Член групи з міжпарламентських зв'язків з Латвійською Республікою
15796,3,152,,mpg,IRQ,Член групи з міжпарламентських зв'язків з Республікою Ірак
15796,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
15802,1,153,118,sct,komsamovr12,"Голова підкомітету з питань місцевого самоврядування Комітету Верховної Ради України з питань державного будівництва, регіональної політики та місцевого самоврядування"
15802,3,8,,mpg,LTU,Член групи з міжпарламентських зв'язків з Литовською Республікою
15802,3,11,,mpg,POL,Член групи з міжпарламентських зв'язків з Республікою Польща
15802,3,45,,mpg,CAN,Член групи з міжпарламентських зв'язків з Канадою
15802,3,130,,mpg,PAK,Член групи з міжпарламентських зв'язків з Ісламською Республікою Пакистан
15802,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
20287,7,28,,tcs,tinvest38,Член тимчасової слідчої комісії Верховної Ради України для проведення розслідування відомостей щодо нападів на Катерину Гандзюк та інших громадських активістів
20287,1,154,58,sct,crimecor24,Голова підкомітету з питань запобігання і протидії політичній корупції Комітету Верховної Ради України з питань запобігання і протидії корупції
20287,2,3,,fra,bp,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
20287,3,142,,mpg,PER,Член групи з міжпарламентських зв'язків з Республікою Перу
20287,3,45,,mpg,CAN,Член групи з міжпарламентських зв'язків з Канадою
20287,3,155,,mpg,VNM,Член групи з міжпарламентських зв'язків з Соціалістичною Республікою В'єтнам
20287,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
20287,3,113,,mpg,ALB,Член групи з міжпарламентських зв'язків з Республікою Албанія
20287,3,78,,mpg,CHL,Член групи з міжпарламентських зв'язків з Республікою Чилі
15655,31,20,,fra,nf,"Голова депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
15655,12,143,,cmt,komvti,Перший заступник голови Комітету Верховної Ради України у справах ветеранів та осіб з інвалідністю
15655,3,18,,mpg,FRA,Член групи з міжпарламентських зв'язків з Французькою Республікою
15655,3,45,,mpg,CAN,Член групи з міжпарламентських зв'язків з Канадою
15655,3,48,,mpg,DEU,Член групи з міжпарламентських зв'язків з Федеративною Республікою Німеччина
15655,3,44,,mpg,TUR,Член групи з міжпарламентських зв'язків з Турецькою Республікою
15655,3,4,,mpg,ISR,Член групи з міжпарламентських зв'язків з Державою Ізраїль
15655,3,77,,mpg,ITA,Член групи з міжпарламентських зв'язків з Італійською Республікою
15655,14,66,,mpg,ROM,Співголова групи з міжпарламентських зв'язків з Румунією
15655,22,60,,mpd,uPCA,Член Української частини Парламентського комітету асоціації
15655,3,15,,mpg,GBR,Член групи з міжпарламентських зв'язків з Сполученим Королівством Великої Британії та Північної Ірландії
15257,1,156,122,sct,komzakonpr19,Голова підкомітету з питань боротьби з організованою злочинністю Комітету Верховної Ради України з питань законодавчого забезпечення правоохоронної діяльності
15257,2,12,,fra,but,"Член депутатської фракції політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України"
15257,3,81,,mpg,AUS,Член групи з міжпарламентських зв'язків з Австралією
15257,3,18,,mpg,FRA,Член групи з міжпарламентських зв'язків з Французькою Республікою
